HGNC_SYMBOL,LOG2FC,PVALUE
PTDSS2,0.080,0.434
PTEN,0.093,0.392
PTER,-0.312,0.031
PTF1A,0.085,0.627
PTGDR,-0.023,0.881
PTGDR2,-0.191,0.454
PTGDS,-0.297,0.139
PTGER1,0.566,0.017
PTGER2,0.103,0.817
PTGER3,-0.114,0.009
PTGER4,0.153,0.673
PTGES,0.031,0.637
PTGES2,-0.089,0.260
PTGES3,-0.109,0.807
PTGFR,-0.697,0.000
PTGFRN,0.035,0.750
PTGIR,-0.401,0.489
PTGIS,0.042,0.558
PTGR1,0.009,0.248
PTGR2,-0.230,0.054
PTGS1,-0.140,0.090
PTGS2,-0.257,0.090
PTH,-0.066,0.400
PTH1R,0.448,0.595
PTH2,0.037,0.839
PTH2R,0.014,0.975
PTHLH,0.027,0.909
PTK2,0.245,0.061
PTK2B,-0.465,0.111
PTK6,-0.044,0.700
PTK7,0.527,0.025
PTMA,0.014,0.875
PTMS,0.210,0.190
PTN,0.397,0.307
PTOV1,0.168,0.120
PTP4A1,-0.259,0.010
PTP4A2,0.123,0.306
PTP4A3,0.171,0.910
PTPDC1,-0.090,0.392
PTPLA,0.114,0.414
PTPLAD1,-0.158,0.053
PTPLAD2,0.224,0.567
PTPLB,0.005,0.905
PTPMT1,0.076,0.416
PTPN1,-0.067,0.460
PTPN11,0.251,0.177
PTPN12,0.013,0.888
PTPN13,-0.169,0.584
PTPN14,-0.084,0.574
PTPN18,-0.010,0.956
PTPN2,0.023,0.975
PTPN20A,-0.622,0.261
PTPN20B,-0.051,0.906
PTPN21,-0.097,0.494
PTPN22,0.024,0.834
PTPN23,0.082,0.339
PTPN3,-0.085,0.535
PTPN4,0.038,0.823
PTPN5,-0.275,0.175
PTPN6,0.074,0.494
PTPN7,0.120,0.634
PTPN9,0.097,0.309
PTPRA,0.078,0.428
PTPRB,-0.200,0.523
PTPRC,0.440,0.454
PTPRCAP,0.232,0.395
PTPRD,-0.457,0.030
PTPRE,-0.093,0.717
PTPRF,-0.010,0.923
PTPRG,-0.008,0.924
PTPRH,0.233,0.182
PTPRJ,0.323,0.002
PTPRK,-0.150,0.095
PTPRM,-0.067,0.606
PTPRN,0.045,0.863
PTPRN2,-0.043,0.677
PTPRO,1.090,0.207
PTPRQ,0.040,0.709
PTPRR,0.715,0.056
PTPRS,-0.121,0.503
PTPRT,-0.217,0.450
PTPRU,0.123,0.573
PTPRVP,0.197,0.396
PTPRZ1,1.300,0.168
PTRF,0.037,0.687
PTRH1,-0.028,0.797
PTRH2,-0.060,0.638
PTRHD1,-0.021,0.845
PTS,-0.127,0.117
PTTG1,-0.363,0.014
PTTG1IP,0.164,0.177
PTTG2,-0.047,0.523
PTTG3P,-0.481,0.497
PTX3,-0.694,0.022
PTX4,-0.040,0.955
PUF60,0.026,0.799
PUM1,0.051,0.663
PUM2,-0.083,0.286
PURA,-0.120,0.352
PURB,-0.030,0.773
PURG,0.016,0.877
PUS1,-0.041,0.635
PUS10,0.263,0.025
PUS3,-0.222,0.018
PUS7,0.004,0.951
PUS7L,0.010,0.866
PUSL1,-0.117,0.137
PVALB,0.163,0.689
PVR,-0.064,0.703
PVRIG,0.037,0.881
PVRL1,0.000,1.000
PVRL2,0.172,0.033
PVRL3,-0.257,0.313
PVRL4,0.039,0.734
PVT1,-0.004,0.309
PWP1,-0.067,0.486
PWP2,0.007,0.930
PWRN1,0.039,0.549
PWRN2,0.007,0.899
PWWP2A,-0.059,0.790
PWWP2B,0.217,0.185
PXDN,-0.426,0.037
PXDNL,0.100,0.734
PXK,0.157,0.131
PXMP2,-0.399,0.030
PXMP4,-0.334,0.043
PXN,0.345,0.114
PXT1,-0.265,0.347
PYCARD,0.198,0.221
PYCR1,-0.181,0.169
PYCR2,-0.151,0.529
PYCRL,-0.192,0.069
PYDC1,0.065,0.641
PYDC2,1.060,0.103
PYGB,0.058,0.588
PYGL,0.082,0.269
PYGM,0.121,0.760
PYGO1,0.053,0.601
PYGO2,0.106,0.316
PYHIN1,0.022,0.862
PYROXD1,-0.221,0.117
PYROXD2,-0.132,0.271
PYY,-0.102,0.834
PYY2,-0.102,0.723
PZP,-0.001,0.982
QARS,-0.107,0.405
QDPR,-0.141,0.264
QKI,0.195,0.325
QPCT,0.015,0.992
QPCTL,0.050,0.784
QPRT,0.216,0.030
QRFP,0.204,0.549
QRFPR,0.050,0.408
QRICH1,0.019,0.792
QRICH2,0.044,0.568
QRSL1,0.057,0.881
QSER1,-0.153,0.183
QSOX1,0.183,0.133
QSOX2,-0.046,0.735
QTRT1,-0.080,0.588
QTRTD1,-0.047,0.749
R3HCC1,0.027,0.789
R3HDM1,-0.119,0.318
R3HDM2,-0.111,0.383
R3HDML,-0.158,0.790
RAB10,0.138,0.320
RAB11A,0.067,0.567
RAB11B,0.102,0.759
RAB11FIP1,0.115,0.554
RAB11FIP2,0.119,0.350
RAB11FIP3,0.006,0.957
RAB11FIP4,-0.037,0.718
RAB11FIP5,0.003,0.975
RAB12,0.105,0.113
RAB13,0.050,0.618
RAB14,-0.407,0.005
RAB15,0.276,0.092
RAB17,0.167,0.529
RAB18,0.043,0.728
RAB19,-0.437,0.414
RAB1A,-0.005,0.834
RAB1B,0.001,0.134
RAB20,0.102,0.334
RAB21,-0.053,0.587
RAB22A,-0.057,0.403
RAB23,0.462,0.007
RAB24,-0.127,0.135
RAB25,-0.115,0.559
RAB26,-0.106,0.596
RAB27A,0.090,0.363
RAB27B,0.255,0.223
RAB28,-0.066,0.705
RAB2A,-0.024,0.770
RAB2B,0.156,0.303
RAB30,0.000,0.998
RAB31,0.621,0.166
RAB32,0.087,0.480
RAB33A,0.080,0.837
RAB33B,0.077,0.389
RAB34,-0.101,0.782
RAB35,0.083,0.418
RAB36,-0.442,0.033
RAB37,-0.180,0.069
RAB38,-0.094,0.561
RAB39,-0.006,0.930
RAB39B,-0.004,0.942
RAB3A,0.002,0.993
RAB3B,-0.077,0.670
RAB3C,0.011,0.848
RAB3D,0.049,0.903
RAB3GAP1,0.092,0.630
RAB3GAP2,-0.136,0.161
RAB3IL1,0.023,0.897
RAB3IP,-0.344,0.075
RAB40AL,-0.289,0.031
RAB40B,-0.202,0.048
RAB40C,-0.085,0.252
RAB41,0.226,0.716
RAB42,0.391,0.560
RAB43,0.070,0.369
RAB43P1,-0.895,0.003
RAB44,-0.503,0.134
RAB4A,-0.236,0.064
RAB4B,0.070,0.713
RAB5A,-0.064,0.345
RAB5B,0.180,0.218
RAB5C,-0.157,0.429
RAB6A,0.017,0.839
RAB6B,0.142,0.417
RAB7A,-0.090,0.300
RAB7B,-0.249,0.065
RAB7L1,-0.054,0.467
RAB8A,-0.063,0.398
RAB8B,0.256,0.085
RAB9A,-0.083,0.521
RAB9B,0.668,0.123
RAB9BP1,-0.115,0.508
RABAC1,0.006,0.940
RABEP1,0.153,0.329
RABEP2,0.092,0.147
RABEPK,0.126,0.273
RABGAP1,-0.329,0.026
RABGAP1L,-0.113,0.208
RABGEF1,-0.219,0.082
RABGGTA,-0.058,0.448
RABGGTB,0.058,0.710
RABIF,0.175,0.549
RABL2A,-0.063,0.338
RABL2B,-0.158,0.371
RABL3,-0.028,0.789
RABL5,0.067,0.454
RAC1,0.123,0.195
RAC2,0.291,0.247
RAC3,-0.048,0.530
RACGAP1,-0.128,0.655
RACGAP1P,-0.686,0.188
RAD1,0.099,0.254
RAD17,-0.022,0.902
RAD18,-0.150,0.190
RAD21,-0.065,0.550
RAD21-AS1,-0.247,0.190
RAD21L1,-0.316,0.614
RAD23A,0.030,0.701
RAD23B,-0.025,0.256
RAD50,-0.108,0.160
RAD51,-0.048,0.621
RAD51AP1,0.090,0.568
RAD51AP2,-0.436,0.219
RAD51B,-0.134,0.118
RAD51C,-0.074,0.311
RAD51D,0.059,0.880
RAD52,0.042,0.631
RAD54B,-0.241,0.460
RAD54L,-0.335,0.223
RAD54L2,0.084,0.404
RAD9A,0.125,0.555
RAD9B,0.214,0.219
RADIL,-0.270,0.445
RAE1,-0.104,0.119
RAET1E,-0.189,0.219
RAET1K,0.356,0.376
RAF1,0.023,0.830
RAG1,-0.156,0.130
RAG2,0.048,0.140
RAI1,0.241,0.013
RAI14,0.622,0.008
RAI2,-0.049,0.757
RALA,-0.058,0.660
RALB,-0.080,0.531
RALBP1,0.119,0.502
RALGAPA1,-0.016,0.716
RALGAPA2,0.390,0.081
RALGAPB,0.000,0.370
RALGDS,0.014,0.940
RALGPS1,-0.151,0.085
RALGPS2,0.179,0.302
RALY,0.131,0.153
RALYL,-0.108,0.782
RAMP1,0.330,0.047
RAMP2,0.107,0.335
RAMP3,0.308,0.324
RAN,-0.019,0.849
RANBP1,-0.098,0.578
RANBP10,0.232,0.025
RANBP17,-0.125,0.492
RANBP2,-0.159,0.500
RANBP3,0.019,0.836
RANBP3L,-0.355,0.326
RANBP6,0.088,0.510
RANBP9,0.111,0.174
RANGAP1,0.045,0.604
RANGRF,0.044,0.613
RAP1A,0.024,0.843
RAP1B,-0.091,0.357
RAP1GAP,-0.373,0.008
RAP1GAP2,0.007,0.683
RAP1GDS1,-0.133,0.150
RAP2A,0.025,0.792
RAP2B,-0.164,0.300
RAP2C,0.095,0.559
RAPGEF1,0.027,0.930
RAPGEF2,-0.036,0.816
RAPGEF3,-0.016,0.160
RAPGEF4,-0.693,0.030
RAPGEF5,-0.253,0.095
RAPGEF6,0.004,0.584
RAPGEFL1,-0.475,0.357
RAPH1,0.108,0.276
RAPSN,0.277,0.034
RARA,0.209,0.130
RARB,-0.039,0.208
RARG,-0.006,0.968
RARRES1,-0.153,0.371
RARRES2,-0.058,0.713
RARRES3,0.254,0.054
RARS,-0.098,0.188
RARS2,-0.092,0.338
RASA1,0.053,0.691
RASA2,-0.142,0.687
RASA3,-0.207,0.077
RASA4,-0.108,0.305
RASAL1,0.171,0.767
RASAL2,-0.170,0.535
RASAL3,0.042,0.735
RASD1,0.017,0.845
RASD2,-0.218,0.385
RASEF,-0.192,0.337
RASGEF1A,-0.080,0.490
RASGEF1B,0.084,0.783
RASGEF1C,0.333,0.429
RASGRF1,0.207,0.869
RASGRF2,-0.221,0.183
RASGRP1,0.232,0.205
RASGRP2,0.054,0.710
RASGRP3,0.138,0.464
RASGRP4,0.186,0.667
RASIP1,-0.076,0.604
RASL10A,0.069,0.703
RASL10B,-0.476,0.114
RASL11A,1.060,0.258
RASL11B,-0.273,0.302
RASL12,0.660,0.358
RASSF1,0.026,0.729
RASSF10,0.378,0.293
RASSF2,0.313,0.108
RASSF3,-0.105,0.782
RASSF4,0.229,0.041
RASSF5,0.058,0.657
RASSF6,-0.217,0.161
RASSF7,-0.182,0.039
RASSF8,-0.217,0.243
RASSF9,-0.478,0.181
RAVER1,0.199,0.747
RAVER2,0.025,0.887
RAX,0.440,0.377
RAX2,-0.192,0.562
RB1,-0.188,0.094
RB1CC1,0.023,0.787
RBAK,0.181,0.042
RBAK-LOC389458,0.272,0.083
RBBP4,0.016,0.853
RBBP5,-0.027,0.935
RBBP6,0.080,0.679
RBBP7,-0.015,0.828
RBBP8,-0.245,0.043
RBBP9,-0.099,0.248
RBCK1,0.168,0.199
RBFA,-0.079,0.350
RBFOX1,-0.174,0.681
RBFOX2,0.079,0.606
RBFOX3,0.000,0.996
RBKS,-0.174,0.069
RBL1,-0.219,0.645
RBL2,0.086,0.433
RBM10,0.017,0.284
RBM11,0.117,0.335
RBM12,0.014,0.959
RBM12B,0.004,0.861
RBM14,-0.275,0.257
RBM14-RBM4,-0.070,0.312
RBM15,0.304,0.399
RBM15B,-0.013,0.932
RBM17,-0.187,0.185
RBM18,-0.006,0.960
RBM19,0.113,0.356
RBM20,-0.262,0.311
RBM22,0.103,0.466
RBM23,0.050,0.838
RBM24,-0.034,0.896
RBM25,0.164,0.244
RBM26,-0.020,0.898
RBM27,-0.138,0.279
RBM28,0.040,0.763
RBM3,0.021,0.701
RBM33,-0.083,0.738
RBM34,-0.106,0.569
RBM38,0.090,0.638
RBM39,0.014,0.790
RBM4,0.104,0.389
RBM41,-0.006,0.967
RBM42,0.084,0.669
RBM43,0.115,0.728
RBM44,-0.275,0.079
RBM45,-0.097,0.543
RBM46,-0.016,0.860
RBM47,0.103,0.297
RBM4B,0.172,0.231
RBM5,0.039,0.755
RBM6,0.024,0.883
RBM7,-0.041,0.690
RBM8A,0.008,0.311
RBMS1,0.042,0.815
RBMS2,0.044,0.649
RBMS3,0.326,0.367
RBMX,0.194,0.626
RBMX2,-0.143,0.443
RBMXL1,-0.158,0.100
RBMXL2,0.019,0.760
RBMXL3,0.078,0.306
RBMY1B,-0.221,0.421
RBMY2EP,-0.210,0.513
RBMY2FP,-0.004,0.942
RBMY3AP,0.028,0.696
RBP1,0.171,0.103
RBP2,1.230,0.003
RBP3,0.073,0.288
RBP4,0.157,0.277
RBP5,-0.165,0.310
RBP7,-0.128,0.694
RBPJ,-0.005,0.962
RBPJL,0.118,0.732
RBPMS,0.001,0.363
RBPMS2,-0.019,0.924
RBX1,-0.076,0.348
RC3H1,0.005,0.996
RC3H2,-0.003,0.669
RCAN1,-0.145,0.078
RCAN2,0.086,0.426
RCAN3,0.034,0.390
RCBTB1,-0.049,0.585
RCBTB2,-0.042,0.632
RCC1,0.073,0.516
RCC2,0.130,0.467
RCCD1,-0.278,0.017
RCE1,0.042,0.763
RCHY1,-0.029,0.857
RCL1,-0.454,0.000
RCN1,0.221,0.016
RCN2,-0.039,0.753
RCN3,0.288,0.481
RCOR1,-0.005,0.944
RCOR2,-0.306,0.363
RCOR3,-0.039,0.896
RCSD1,0.097,0.856
RCVRN,0.034,0.911
RD3,0.019,0.906
RDBP,0.030,0.758
RDH10,-0.069,0.625
RDH11,0.186,0.542
RDH12,0.039,0.802
RDH13,-0.193,0.201
RDH14,-0.039,0.562
RDH16,-0.590,0.033
RDH5,-0.258,0.152
RDH8,-0.485,0.118
RDM1,0.037,0.913
RDX,0.044,0.130
REC8,-0.020,0.919
RECK,-0.295,0.110
RECQL,-0.083,0.586
RECQL4,-0.391,0.002
RECQL5,-0.010,0.431
REEP1,1.060,0.049
REEP2,0.152,0.248
REEP3,-0.056,0.608
REEP4,0.056,0.578
REEP5,-0.185,0.104
REEP6,-0.388,0.026
REG1A,-0.331,0.306
REG1B,-0.256,0.495
REG1P,0.133,0.415
REG3A,0.710,0.075
REG3G,-0.012,0.842
REG4,-0.089,0.624
REL,0.247,0.225
RELA,-0.023,0.695
RELB,0.190,0.091
RELL1,-0.078,0.303
RELL2,0.202,0.228
RELN,0.291,0.349
RELT,0.272,0.029
REM1,-0.281,0.370
REM2,-0.077,0.755
REN,0.423,0.003
RENBP,-0.202,0.182
REP15,-0.331,0.326
REPIN1,0.156,0.194
REPS1,-0.437,0.003
REPS2,-0.127,0.602
RER1,-0.122,0.161
RERE,-0.028,0.786
REREP3,0.232,0.293
RERG,-0.077,0.775
RERGL,-1.440,0.000
RESP18,-0.080,0.699
REST,-0.173,0.054
RET,0.363,0.056
RETN,0.181,0.556
RETNLB,-0.092,0.693
RETSAT,0.130,0.602
REV1,0.057,0.678
REV3L,-0.202,0.042
REXO1,0.293,0.071
REXO1L1,-0.117,0.931
REXO2,-0.092,0.258
REXO4,-0.062,0.403
RFC1,0.078,0.496
RFC2,0.017,0.810
RFC3,-0.021,0.961
RFC4,-0.168,0.121
RFC5,0.017,0.888
RFESD,-0.176,0.146
RFFL,0.050,0.729
RFK,0.002,0.972
RFNG,0.021,0.819
RFPL1,-0.112,0.765
RFPL1-AS1,0.183,0.578
RFPL2,-0.844,0.061
RFPL3,0.029,0.632
RFPL3-AS1,-0.170,0.331
RFPL4A,-1.125,0.000
RFPL4B,0.437,0.091
RFT1,-0.056,0.084
RFTN1,0.144,0.332
RFTN2,0.392,0.251
RFWD2,0.019,0.770
RFWD3,0.162,0.079
RFX1,0.002,0.986
RFX2,-0.048,0.722
RFX3,-0.300,0.138
RFX4,0.020,0.737
RFX5,0.003,0.999
RFX6,0.013,0.841
RFX7,-0.022,0.788
RFX8,0.434,0.314
RFXANK,0.152,0.128
RFXAP,0.207,0.145
RG9MTD1,-0.204,0.123
RG9MTD2,0.009,0.938
RG9MTD3,0.067,0.815
RGAG1,-0.252,0.637
RGAG4,-0.034,0.607
RGL1,0.008,0.935
RGL2,-0.238,0.010
RGL3,0.123,0.275
RGL4,0.065,0.904
RGMA,0.515,0.071
RGMB,-0.085,0.375
RGN,-0.049,0.771
RGNEF,-0.135,0.295
RGP1,-0.175,0.049
RGPD1,-0.225,0.634
RGPD5,0.010,0.574
RGPD6,-0.131,0.619
RGR,-0.200,0.054
RGS1,0.421,0.498
RGS10,0.264,0.311
RGS11,-0.015,0.922
RGS12,-0.037,0.775
RGS13,0.014,0.828
RGS14,-0.272,0.008
RGS16,-0.046,0.878
RGS17,0.018,0.757
RGS18,0.236,0.294
RGS19,0.088,0.323
RGS2,-0.652,0.001
RGS20,0.164,0.494
RGS21,-0.047,0.786
RGS22,0.019,0.749
RGS3,-0.074,0.013
RGS4,-0.044,0.417
RGS5,-0.501,0.071
RGS6,-0.126,0.178
RGS7,-0.636,0.332
RGS7BP,-0.246,0.228
RGS8,-0.695,0.006
RGS9,-0.485,0.065
RGS9BP,-0.188,0.639
RGSL1,0.074,0.284
RHAG,0.017,0.765
RHBDD1,0.045,0.828
RHBDD2,0.243,0.015
RHBDD3,-0.134,0.115
RHBDF1,0.109,0.309
RHBDF2,-0.010,0.937
RHBDL1,0.326,0.306
RHBDL2,-0.133,0.394
RHBDL3,0.027,0.681
RHBG,0.380,0.020
RHCE,-0.256,0.238
RHCG,-0.041,0.818
RHD,0.002,0.970
RHEB,-0.185,0.319
RHEBL1,0.136,0.387
RHO,0.231,0.565
RHOA,0.044,0.214
RHOB,-0.195,0.285
RHOBTB1,-0.292,0.113
RHOBTB2,0.050,0.568
RHOBTB3,0.139,0.330
RHOC,0.159,0.170
RHOD,0.066,0.390
RHOF,0.897,0.004
RHOG,0.111,0.295
RHOH,-0.138,0.352
RHOJ,-0.415,0.227
RHOQ,-0.092,0.332
RHOT1,-0.040,0.742
RHOT2,-0.107,0.375
RHOU,-0.340,0.066
RHOV,0.095,0.746
RHOXF1,0.153,0.398
RHOXF2,-0.016,0.952
RHPN1,-0.029,0.810
RHPN2,0.148,0.140
RIBC1,-0.403,0.654
RIBC2,0.188,0.523
RIC3,-0.349,0.379
RIC8A,-0.091,0.511
RIC8B,-0.252,0.096
RICTOR,0.210,0.046
RIF1,-0.079,0.491
RIIAD1,-0.059,0.574
RILP,-0.192,0.042
RILPL1,-0.015,0.886
RILPL2,-0.055,0.575
RIMBP2,0.295,0.235
RIMBP3,0.416,0.006
RIMKLA,0.062,0.427
RIMKLB,-0.045,0.806
RIMS1,-0.118,0.208
RIMS2,0.201,0.389
RIMS3,-0.170,0.352
RIMS4,-0.143,0.782
RIN1,0.115,0.451
RIN2,0.209,0.136
RIN3,0.381,0.012
RING1,0.151,0.223
RINL,-0.256,0.248
RINT1,-0.087,0.520
RIOK1,0.167,0.182
RIOK2,0.002,0.981
RIOK3,-0.038,0.642
RIPK1,-0.007,0.962
RIPK2,0.114,0.386
RIPK3,0.214,0.336
RIPK4,-0.166,0.155
RIPPLY1,0.026,0.662
RIPPLY2,-0.529,0.328
RIT1,0.367,0.095
RIT2,0.681,0.273
RLBP1,-0.152,0.528
RLF,-0.042,0.679
RLIM,-0.065,0.872
RLN1,-0.052,0.856
RLN2,-0.747,0.247
RLN3,0.130,0.541
RLTPR,-0.026,0.687
RMI1,0.144,0.089
RMI2,-0.115,0.184
RMND1,-0.117,0.354
RMND5A,0.286,0.680
RMND5B,0.270,0.071
RMRP,-0.013,0.955
RMST,-1.340,0.003
RN18S1,0.730,0.184
RN28S1,0.061,0.895
RN5-8S1,-0.269,0.185
RN7SK,-0.114,0.400
RN7SL1,0.017,0.885
RNASE1,-0.056,0.945
RNASE10,0.913,0.300
RNASE11,0.000,0.999
RNASE12,0.118,0.336
RNASE13,-0.734,0.077
RNASE2,-0.245,0.682
RNASE3,-2.640,0.243
RNASE4,-0.220,0.442
RNASE6,-0.001,0.999
RNASE7,-0.358,0.049
RNASE8,-0.295,0.602
RNASE9,0.000,0.996
RNASEH1,-0.065,0.641
RNASEH2A,0.044,0.600
RNASEH2B,0.016,0.871
RNASEH2C,0.064,0.715
RNASEK,-0.024,0.889
RNASEL,0.276,0.077
RNASET2,0.229,0.101
RND1,-0.345,0.058
RND2,-0.234,0.351
RND3,-0.260,0.118
RNF10,0.000,0.997
RNF103,-0.002,0.983
RNF11,0.019,0.838
RNF111,0.035,0.671
RNF112,-0.039,0.831
RNF113A,-0.036,0.646
RNF113B,0.341,0.688
RNF114,0.108,0.470
RNF115,-0.055,0.537
RNF121,0.204,0.175
RNF122,-0.036,0.795
RNF123,-0.075,0.415
RNF125,-0.280,0.044
RNF126,-0.075,0.216
RNF128,0.009,0.882
RNF13,-0.017,0.445
RNF130,0.083,0.393
RNF133,0.008,0.896
RNF135,0.194,0.192
RNF138,-0.108,0.179
RNF138P1,-0.192,0.595
RNF139,0.001,0.996
RNF14,0.076,0.415
RNF141,-0.049,0.735
RNF144A,-0.338,0.047
RNF144B,-0.269,0.058
RNF145,0.880,0.000
RNF146,-0.046,0.702
RNF148,-0.277,0.178
RNF149,0.050,0.583
RNF150,-0.790,0.308
RNF151,-0.059,0.793
RNF152,-0.342,0.008
RNF157,-0.231,0.025
RNF165,0.438,0.349
RNF166,-0.216,0.398
RNF167,-0.080,0.564
RNF168,0.200,0.081
RNF169,0.051,0.664
RNF17,0.059,0.295
RNF170,-0.177,0.727
RNF175,-0.765,0.158
RNF180,-0.194,0.461
RNF181,0.113,0.448
RNF182,-0.094,0.853
RNF183,1.190,0.146
RNF185,0.145,0.512
RNF186,1.340,0.001
RNF187,0.245,0.066
RNF19A,0.333,0.005
RNF19B,0.109,0.619
RNF2,0.204,0.321
RNF20,0.098,0.160
RNF207,-0.164,0.425
RNF208,0.251,0.016
RNF212,0.568,0.633
RNF213,0.358,0.033
RNF214,0.199,0.483
RNF215,-0.105,0.707
RNF216,-0.005,0.506
RNF216P1,0.107,0.195
RNF217,0.131,0.099
RNF219,-0.015,0.905
RNF220,0.086,0.284
RNF222,0.254,0.066
RNF224,0.356,0.014
RNF24,0.247,0.124
RNF25,-0.072,0.368
RNF26,0.216,0.057
RNF31,0.157,0.106
RNF32,0.054,0.816
RNF34,0.174,0.044
RNF38,-0.011,0.938
RNF39,-0.123,0.421
RNF4,0.045,0.777
RNF40,0.186,0.132
RNF41,0.092,0.203
RNF43,-0.116,0.213
RNF44,0.126,0.325
RNF5,-0.036,0.780
RNF6,0.088,0.319
RNF7,-0.025,0.976
RNF8,0.182,0.365
RNFT1,0.003,0.987
RNFT2,0.294,0.055
RNGTT,0.070,0.114
RNH1,0.070,0.588
RNLS,-0.029,0.726
RNMT,0.017,0.991
RNMTL1,0.070,0.329
RNPC3,-0.277,0.002
RNPEP,0.113,0.266
RNPEPL1,0.043,0.642
RNPS1,0.025,0.810
RNU1-5,0.047,0.613
RNU105A,0.233,0.007
RNU105B,0.941,0.063
RNU105C,0.038,0.933
RNU11,0.142,0.668
RNU12,-0.025,0.937
RNU2-2,0.076,0.728
RNU4ATAC,0.046,0.899
ROBO1,0.010,0.867
ROBO2,0.195,0.720
ROBO3,0.139,0.136
ROBO4,-0.102,0.621
ROCK1,-0.039,0.863
ROCK2,0.021,0.688
ROGDI,0.090,0.540
ROM1,-0.041,0.672
ROMO1,-0.051,0.435
ROPN1,-0.223,0.258
ROPN1L,0.109,0.727
ROR1,0.199,0.616
ROR2,-0.578,0.291
RORA,-0.314,0.053
RORB,-0.580,0.071
RORC,-0.477,0.002
ROS1,-0.372,0.111
RP1,0.076,0.499
RP1-177G6.2,0.471,0.212
RP11-165H20.1,-0.373,0.230
RP1L1,0.022,0.596
RP2,-0.101,0.446
RP9,-0.016,0.802
RP9P,0.074,0.661
RPA1,-0.124,0.192
RPA2,0.054,0.653
RPA3,-0.116,0.258
RPA4,-0.284,0.737
RPAIN,-0.105,0.179
RPAP1,0.015,0.895
RPAP2,0.028,0.287
RPAP3,-0.015,0.895
RPE,-0.003,0.972
RPE65,-0.046,0.520
RPF1,0.064,0.731
RPF2,-0.221,0.015
RPGR,-0.267,0.233
RPGRIP1,-0.371,0.023
RPGRIP1L,-0.237,0.384
RPH3A,0.080,0.229
RPH3AL,0.144,0.118
RPIA,0.073,0.444
RPL10,-0.053,0.874
RPL10A,-0.092,0.437
RPL10L,-0.170,0.222
RPL11,-0.047,0.467
RPL12,-0.027,0.751
RPL13,-0.093,0.081
RPL13A,0.035,0.681
RPL13AP17,-0.307,0.282
RPL13AP3,-0.033,0.907
RPL13P5,0.208,0.372
RPL14,-0.017,0.874
RPL15,0.058,0.564
RPL17,-0.109,0.499
RPL18,-0.036,0.676
RPL18A,-0.099,0.253
RPL19,-0.019,0.764
RPL19P12,-0.067,0.560
RPL21,-0.114,0.861
RPL21P44,0.001,0.989
RPL22,-0.066,0.313
RPL22L1,-0.290,0.023
RPL23,-0.102,0.204
RPL23A,0.002,0.942
RPL23AP32,-0.237,0.197
RPL23AP53,-0.082,0.341
RPL23AP64,-0.563,0.289
RPL23AP7,-0.011,0.872
RPL23P8,-0.174,0.406
RPL24,-0.039,0.816
RPL26,-0.188,0.294
RPL26L1,0.035,0.668
RPL27,-0.021,0.832
RPL27A,-0.263,0.276
RPL28,-0.113,0.415
RPL29,-0.036,0.970
RPL29P2,0.032,0.654
RPL3,-0.040,0.714
RPL30,-0.089,0.205
RPL31,-0.070,0.810
RPL31P11,0.620,0.076
RPL32,-0.073,0.397
RPL32P3,-0.210,0.474
RPL34,-0.142,0.088
RPL35,-0.042,0.550
RPL35A,-0.136,0.215
RPL36,-0.392,0.216
RPL36A,-0.121,0.159
RPL36A-HNRNPH2,0.055,0.769
RPL36AL,-0.085,0.353
RPL36AP33,0.731,0.128
RPL37,-0.116,0.299
RPL37A,-0.075,0.418
RPL38,-0.078,0.329
RPL39,-0.072,0.276
RPL39L,-0.100,0.376
RPL3L,0.662,0.253
RPL4,0.071,0.334
RPL41,-0.111,0.500
RPL5,-0.021,0.790
RPL6,-0.026,0.829
RPL7,-0.044,0.990
RPL7A,0.051,0.426
RPL7L1,-0.009,0.903
RPL8,0.038,0.587
RPL9,-0.019,0.819
RPLP0,0.053,0.472
RPLP1,-0.071,0.316
RPLP2,0.048,0.495
RPN1,0.161,0.249
RPN2,0.048,0.594
RPP14,-0.138,0.088
RPP25,0.347,0.291
RPP30,0.079,0.622
RPP38,-0.039,0.691
RPP40,-0.052,0.460
RPPH1,-0.036,0.705
RPRD1A,-0.096,0.698
RPRD1B,0.042,0.712
RPRD2,-0.052,0.364
RPRM,0.029,0.688
RPRML,-1.051,0.004
RPS10,-0.028,0.909
RPS10P7,-0.253,0.391
RPS11,-0.075,0.352
RPS12,-0.189,0.550
RPS13,0.046,0.542
RPS14,-0.035,0.842
RPS15,0.048,0.441
RPS15A,-0.036,0.890
RPS15AP10,-0.640,0.351
RPS16,0.034,0.716
RPS16P5,0.017,0.811
RPS17,-0.483,0.045
RPS18,0.074,0.480
RPS19,-0.004,0.868
RPS19BP1,-0.051,0.693
RPS2,0.000,0.989
RPS20,-0.098,0.183
RPS20P27,-0.106,0.217
RPS21,-0.081,0.767
RPS23,-0.026,0.944
RPS24,-0.065,0.472
RPS25,0.018,0.797
RPS26,-0.104,0.362
RPS27,0.161,0.517
RPS27A,-0.127,0.264
RPS27L,0.081,0.496
RPS28,-0.036,0.676
RPS29,-0.101,0.340
RPS2P32,0.035,0.790
RPS3,-0.032,0.689
RPS3A,-0.039,0.990
RPS4X,-0.022,0.847
RPS4Y1,-0.125,0.123
RPS4Y2,-0.124,0.133
