HGNC_SYMBOL,LOG2FC,PVALUE
ALKBH4,-0.016,0.893
ALKBH5,0.044,0.742
ALKBH6,0.077,0.595
ALKBH7,-0.056,0.563
ALKBH8,0.218,0.819
ALLC,-0.336,0.015
ALMS1,-0.172,0.566
ALMS1P,-0.008,0.990
ALOX12,-0.032,0.903
ALOX12B,0.125,0.666
ALOX12P2,0.010,0.942
ALOX15,0.443,0.360
ALOX15B,0.212,0.297
ALOX5,0.053,0.373
ALOX5AP,-0.447,0.176
ALOXE3,0.140,0.200
ALPI,1.990,0.000
ALPK1,-0.015,0.855
ALPK2,0.220,0.355
ALPK3,0.360,0.130
ALPL,-0.197,0.288
ALPP,0.511,0.012
ALPPL2,0.176,0.118
ALS2,0.019,0.973
ALS2CL,0.126,0.562
ALS2CR11,-0.009,0.978
ALS2CR12,0.378,0.364
ALS2CR8,-0.213,0.510
ALX1,0.537,0.272
ALX3,0.232,0.490
ALX4,0.054,0.386
AMACR,0.460,0.027
AMBN,0.144,0.697
AMBP,0.116,0.249
AMBRA1,-0.043,0.127
AMD1,-0.173,0.121
AMDHD1,-0.252,0.240
AMDHD2,0.084,0.479
AMELX,0.269,0.539
AMELY,0.235,0.178
AMFR,0.173,0.032
AMH,0.247,0.267
AMHR2,0.289,0.374
AMICA1,-0.142,0.002
AMIGO1,-0.059,0.555
AMIGO2,-0.129,0.701
AMIGO3,-0.077,0.314
AMMECR1,0.145,0.479
AMMECR1L,-0.036,0.597
AMN,0.124,0.786
AMN1,0.036,0.921
AMOT,-0.109,0.008
AMOTL1,0.069,0.800
AMOTL2,-0.097,0.320
AMPD1,-0.067,0.730
AMPD2,-0.004,0.951
AMPD3,0.283,0.194
AMPH,-0.210,0.448
AMT,0.034,0.892
AMTN,-0.923,0.163
AMY1C,-0.379,0.030
AMZ1,0.356,0.276
AMZ2,-0.023,0.810
AMZ2P1,0.018,0.826
ANAPC1,-0.023,0.085
ANAPC10,-0.113,0.238
ANAPC11,0.023,0.808
ANAPC13,-0.168,0.144
ANAPC16,-0.125,0.415
ANAPC2,0.011,0.956
ANAPC4,-0.133,0.078
ANAPC5,0.020,0.809
ANAPC7,0.029,0.899
ANG,-0.302,0.091
ANGEL1,-0.106,0.343
ANGEL2,-0.084,0.526
ANGPT1,-0.010,0.981
ANGPT2,-0.498,0.049
ANGPT4,0.173,0.627
ANGPTL1,0.372,0.059
ANGPTL2,-0.036,0.857
ANGPTL3,0.968,0.001
ANGPTL4,-0.210,0.063
ANGPTL5,0.118,0.316
ANGPTL6,-0.078,0.430
ANGPTL7,0.263,0.273
ANK1,-0.304,0.533
ANK2,0.250,0.436
ANK3,-0.214,0.004
ANKAR,-0.091,0.507
ANKDD1A,-0.069,0.981
ANKDD1B,0.002,0.989
ANKFN1,-0.023,0.979
ANKFY1,-0.415,0.129
ANKH,0.034,0.898
ANKHD1,-0.054,0.399
ANKHD1-EIF4EBP3,0.069,0.446
ANKIB1,0.172,0.177
ANKK1,-0.182,0.608
ANKLE1,0.401,0.121
ANKLE2,-0.021,0.943
ANKMY1,-0.256,0.050
ANKMY2,0.023,0.872
ANKRA2,0.141,0.417
ANKRD1,-0.006,0.970
ANKRD10,-0.004,0.350
ANKRD11,0.127,0.440
ANKRD12,-0.472,0.659
ANKRD13A,0.015,0.430
ANKRD13B,0.208,0.442
ANKRD13C,-0.134,0.459
ANKRD13D,0.106,0.289
ANKRD16,-0.173,0.141
ANKRD17,-0.211,0.266
ANKRD18A,-0.354,0.097
ANKRD18B,-0.011,0.930
ANKRD19P,0.250,0.531
ANKRD2,-0.503,0.002
ANKRD20A1,0.130,0.397
ANKRD20A2,0.158,0.768
ANKRD20A4,-0.053,0.578
ANKRD20A5P,0.110,0.586
ANKRD20A8P,-0.208,0.426
ANKRD20A9P,0.200,0.401
ANKRD22,0.269,0.509
ANKRD23,-0.475,0.100
ANKRD24,0.202,0.318
ANKRD26,-0.013,0.997
ANKRD26P1,-0.440,0.343
ANKRD26P3,-0.689,0.150
ANKRD27,0.086,0.336
ANKRD28,-0.516,0.001
ANKRD29,0.482,0.006
ANKRD30A,0.362,0.464
ANKRD30B,0.130,0.173
ANKRD30BL,-0.114,0.855
ANKRD30BP2,-0.144,0.175
ANKRD31,-0.647,0.087
ANKRD32,0.108,0.546
ANKRD33,0.338,0.276
ANKRD33B,-0.892,0.006
ANKRD34A,-0.234,0.715
ANKRD34B,-0.055,0.477
ANKRD34C,0.017,0.776
ANKRD35,0.310,0.025
ANKRD36,0.109,0.959
ANKRD36B,-0.127,0.584
ANKRD36BP1,-0.118,0.476
ANKRD36BP2,-0.158,0.192
ANKRD37,-0.086,0.597
ANKRD39,0.058,0.439
ANKRD40,0.107,0.383
ANKRD42,-0.033,0.585
ANKRD43,-0.276,0.518
ANKRD44,-0.023,0.348
ANKRD45,0.004,0.975
ANKRD46,-0.189,0.598
ANKRD49,0.085,0.388
ANKRD5,-0.183,0.065
ANKRD50,-0.061,0.754
ANKRD52,0.162,0.155
ANKRD53,-0.223,0.354
ANKRD54,-0.004,0.773
ANKRD55,-0.059,0.493
ANKRD56,-0.537,0.037
ANKRD57,0.056,0.685
ANKRD58,0.308,0.298
ANKRD6,-0.180,0.446
ANKRD60,-0.116,0.762
ANKRD62,0.006,0.936
ANKRD62P1-PARP4P3,0.028,0.658
